time,q1_l,q1_r,q2_l,q2_r
0.1,-0.0058606046464791525,0.02192644795939383,0.05194075772913145,0.0
0.2,0.0038178302585674855,0.03967588064620105,0.05763983353072366,0.0
0.30000000000000004,-0.04037823335060942,0.030020652466909374,0.12794593917094368,0.0
0.4,-0.09099716963799774,0.04456756692915264,0.17941716510318176,0.0
0.5,-0.1524888259584832,0.08578668164964222,0.21651277064367463,0.0
0.6000000000000001,-0.1754466635626005,0.13356579586696854,0.211721834026034,0.0
0.7000000000000001,-0.17132391855797952,0.13158067800485002,0.19782742710294302,0.0
0.8,-0.1535,0.1194,0.2131,0.0
0.9,-0.1323,0.1323,0.1935,0.0
1.0,-0.1362,0.0996,0.2000,0.0
1.1,-0.1137,0.1110,0.1725,0.0
1.2,-0.1230,0.0897,0.1698,0.0
1.3,-0.1011,0.1003,0.1416,0.0
1.4,-0.0997,0.0810,0.1317,0.0
1.5,-0.0840,0.0936,0.1368,0.0
1.6,-0.0680,0.0786,0.1451,0.0
1.7,-0.0702,0.0764,0.1337,0.0
1.8,-0.0761,0.0684,0.1141,0.0
1.9,-0.0652,0.0520,0.0905,0.0
2.0,-0.0514,0.0407,0.0702,0.0
2.1,-0.0454,0.0380,0.0508,0.0
2.2,-0.0276,0.0359,0.0327,0.0
2.3,-0.0066,0.0351,0.0188,0.0
2.4,0.0009,0.0345,0.0011,0.0
2.5,-0.0115,0.0105,-0.0032,0.0
2.6,0.0,0.0,0.0,0.0
2.7,0.0,0.0,0.0,0.0
2.8,0.02192644795939383,-0.0058606046464791525,0.0,0.05194075772913145
2.9,0.03967588064620105,0.0038178302585674855,0.0,0.05763983353072366
3.0,0.030020652466909374,-0.04037823335060942,0.0,0.12794593917094368
3.1,0.04456756692915264,-0.09099716963799774,0.0,0.17941716510318176
3.2,0.08578668164964222,-0.1524888259584832,0.0,0.21651277064367463
3.3,0.13356579586696854,-0.1754466635626005,0.0,0.211721834026034
3.4,0.13158067800485002,-0.17132391855797952,0.0,0.19782742710294302
3.5,0.1194,-0.1535,0.0,0.2131
3.6,0.1323,-0.1323,0.0,0.1935
3.7,0.0996,-0.1362,0.0,0.2000
3.8,0.1110,-0.1137,0.0,0.1725
3.9,0.0897,-0.1230,0.0,0.1698
4.0,0.1003,-0.1011,0.0,0.1416
4.1,0.0810,-0.0997,0.0,0.1317
4.2,0.0936,-0.0840,0.0,0.1368
4.3,0.0786,-0.0680,0.0,0.1451
